shipment_id,source,destination,transit_hours,avg_temp_celsius
SHP-1031,Regional_Warehouse_E,Retail_Store_H,23.1,11.78
SHP-1032,Retail_Store_F,Regional_Warehouse_C,11.9,3.63
SHP-1033,Retail_Store_F,Hospital_Pharma_J,5.7,3.02
SHP-1034,Regional_Warehouse_D,Regional_Warehouse_E,16.9,3.09
SHP-1035,Central_Hub_B,Regional_Warehouse_C,4.7,4.77
SHP-1036,Hospital_Pharma_I,Regional_Warehouse_D,13.3,4.18
SHP-1037,Regional_Warehouse_C,Retail_Store_H,2.0,1.77
SHP-1038,Retail_Store_G,Regional_Warehouse_E,4.0,4.18
SHP-1039,Hospital_Pharma_I,Regional_Warehouse_D,13.2,7.22
SHP-1040,Retail_Store_F,Central_Hub_A,16.4,6.46
SHP-1041,Regional_Warehouse_D,Central_Hub_A,13.0,5.32
SHP-1042,Retail_Store_F,Retail_Store_G,11.3,4.3
SHP-1043,Regional_Warehouse_E,Central_Hub_B,10.2,4.57
SHP-1044,Regional_Warehouse_D,Retail_Store_F,3.1,5.38
SHP-1045,Regional_Warehouse_D,Retail_Store_H,7.7,1.39
SHP-1046,Retail_Store_G,Retail_Store_H,9.2,4.13
SHP-1047,Regional_Warehouse_C,Regional_Warehouse_E,18.3,5.42
SHP-1048,Regional_Warehouse_C,Regional_Warehouse_D,14.1,3.32
SHP-1049,Hospital_Pharma_I,Hospital_Pharma_J,2.0,4.24
SHP-1050,Regional_Warehouse_E,Retail_Store_G,13.9,3.31
SHP-1051,Hospital_Pharma_J,Retail_Store_G,9.7,5.55
SHP-1052,Retail_Store_F,Regional_Warehouse_D,7.9,4.6
SHP-1053,Regional_Warehouse_C,Hospital_Pharma_I,15.7,6.59
SHP-1054,Retail_Store_H,Central_Hub_B,18.2,0.77
SHP-1055,Central_Hub_A,Central_Hub_B,17.6,16.12
SHP-1056,Regional_Warehouse_C,Hospital_Pharma_J,7.0,14.49
SHP-1057,Retail_Store_G,Central_Hub_B,10.1,2.86
SHP-1058,Retail_Store_G,Hospital_Pharma_J,14.0,4.67
SHP-1059,Hospital_Pharma_J,Retail_Store_H,17.9,3.45
SHP-1060,Hospital_Pharma_I,Regional_Warehouse_E,9.1,6.66
SHP-1061,Hospital_Pharma_I,Central_Hub_A,10.9,6.85
SHP-1062,Central_Hub_B,Hospital_Pharma_I,5.4,3.28
SHP-1063,Regional_Warehouse_E,Retail_Store_F,4.8,5.53
SHP-1064,Central_Hub_B,Regional_Warehouse_E,16.9,4.19
SHP-1065,Retail_Store_G,Regional_Warehouse_C,20.1,5.41
SHP-1066,Retail_Store_H,Central_Hub_A,11.6,4.62
SHP-1067,Regional_Warehouse_E,Hospital_Pharma_I,18.0,6.36
SHP-1068,Regional_Warehouse_C,Hospital_Pharma_I,14.2,2.91
SHP-1069,Central_Hub_B,Regional_Warehouse_E,8.1,5.61
SHP-1070,Hospital_Pharma_I,Regional_Warehouse_D,14.2,4.42
SHP-1071,Regional_Warehouse_C,Retail_Store_F,21.2,3.2
SHP-1072,Regional_Warehouse_C,Hospital_Pharma_I,11.8,11.85
SHP-1073,Hospital_Pharma_I,Central_Hub_A,21.4,12.83
SHP-1074,Hospital_Pharma_J,Retail_Store_F,2.0,4.59
SHP-1075,Retail_Store_H,Central_Hub_A,16.9,6.29
SHP-1076,Central_Hub_B,Retail_Store_F,12.5,4.23
SHP-1077,Regional_Warehouse_E,Regional_Warehouse_D,10.2,3.34
SHP-1078,Central_Hub_A,Regional_Warehouse_D,12.6,11.38
SHP-1079,Hospital_Pharma_J,Central_Hub_B,2.0,11.54
SHP-1080,Central_Hub_B,Retail_Store_H,10.7,3.8
SHP-1081,Central_Hub_B,Hospital_Pharma_I,14.1,4.9
SHP-1082,Regional_Warehouse_C,Hospital_Pharma_J,20.9,3.44
SHP-1083,Retail_Store_H,Hospital_Pharma_I,8.9,2.12
SHP-1084,Regional_Warehouse_C,Regional_Warehouse_E,7.1,5.86
SHP-1085,Hospital_Pharma_I,Retail_Store_G,9.0,19.54
SHP-1086,Regional_Warehouse_D,Hospital_Pharma_I,17.5,3.91
SHP-1087,Regional_Warehouse_D,Regional_Warehouse_E,14.0,6.57
SHP-1088,Retail_Store_G,Retail_Store_F,8.8,3.28
SHP-1089,Retail_Store_H,Hospital_Pharma_I,15.1,4.87
SHP-1090,Retail_Store_H,Central_Hub_B,12.6,4.84
SHP-1091,Regional_Warehouse_D,Hospital_Pharma_J,17.8,8.27
SHP-1092,Central_Hub_B,Retail_Store_F,7.8,2.06
SHP-1093,Central_Hub_A,Hospital_Pharma_I,10.0,2.25
SHP-1094,Regional_Warehouse_D,Hospital_Pharma_J,9.6,4.78
SHP-1095,Central_Hub_A,Central_Hub_B,3.2,5.81
SHP-1096,Central_Hub_A,Regional_Warehouse_D,13.8,5.82
SHP-1097,Central_Hub_B,Central_Hub_A,13.6,2.03
SHP-1098,Retail_Store_F,Central_Hub_B,12.0,2.4
SHP-1099,Hospital_Pharma_I,Regional_Warehouse_D,10.6,5.45
SHP-1100,Regional_Warehouse_E,Retail_Store_H,3.5,3.01
SHP-1101,Regional_Warehouse_D,Hospital_Pharma_I,9.5,6.05
SHP-1102,Regional_Warehouse_C,Retail_Store_H,9.9,4.59
SHP-1103,Regional_Warehouse_D,Retail_Store_H,7.2,16.63
SHP-1104,Retail_Store_G,Regional_Warehouse_D,11.0,18.81
SHP-1105,Central_Hub_B,Hospital_Pharma_J,14.4,13.45
SHP-1106,Retail_Store_G,Retail_Store_F,23.3,3.48
SHP-1107,Retail_Store_G,Hospital_Pharma_J,13.0,3.45
SHP-1108,Retail_Store_H,Central_Hub_A,13.5,3.85
SHP-1109,Central_Hub_B,Central_Hub_A,11.6,1.95
SHP-1110,Retail_Store_G,Retail_Store_F,2.0,5.66
SHP-1111,Central_Hub_B,Regional_Warehouse_D,11.8,4.8
SHP-1112,Regional_Warehouse_D,Hospital_Pharma_J,12.4,4.73
SHP-1113,Hospital_Pharma_I,Retail_Store_H,26.8,4.49
SHP-1114,Regional_Warehouse_C,Retail_Store_G,10.8,14.39
SHP-1115,Regional_Warehouse_C,Regional_Warehouse_E,13.8,13.96
SHP-1116,Retail_Store_H,Regional_Warehouse_D,11.8,2.48
SHP-1117,Central_Hub_B,Retail_Store_H,5.0,5.2
SHP-1118,Hospital_Pharma_I,Central_Hub_B,18.9,3.74
SHP-1119,Central_Hub_A,Hospital_Pharma_I,16.5,4.58
SHP-1120,Central_Hub_A,Central_Hub_B,16.7,2.72
SHP-1121,Regional_Warehouse_D,Regional_Warehouse_C,6.5,5.98
SHP-1122,Retail_Store_G,Retail_Store_H,20.4,5.62
SHP-1123,Retail_Store_H,Regional_Warehouse_D,3.6,1.35
SHP-1124,Retail_Store_G,Central_Hub_A,15.5,2.43
SHP-1125,Regional_Warehouse_C,Retail_Store_G,25.1,3.27
SHP-1126,Central_Hub_A,Retail_Store_G,6.1,4.48
SHP-1127,Regional_Warehouse_E,Retail_Store_H,8.6,4.51
SHP-1128,Regional_Warehouse_E,Retail_Store_G,12.6,5.4
SHP-1129,Hospital_Pharma_I,Retail_Store_H,9.0,6.42
SHP-1130,Regional_Warehouse_C,Regional_Warehouse_D,2.7,2.94
SHP-1131,Regional_Warehouse_E,Regional_Warehouse_D,12.4,-0.05
SHP-1132,Central_Hub_A,Hospital_Pharma_I,5.6,4.02
SHP-1133,Central_Hub_A,Retail_Store_F,14.8,3.41
SHP-1134,Central_Hub_A,Hospital_Pharma_J,6.5,4.05
SHP-1135,Hospital_Pharma_J,Retail_Store_H,21.3,3.58
SHP-1136,Hospital_Pharma_I,Hospital_Pharma_J,7.3,2.99
SHP-1137,Regional_Warehouse_C,Central_Hub_A,10.1,2.05
SHP-1138,Hospital_Pharma_I,Central_Hub_B,16.9,20.24
SHP-1139,Regional_Warehouse_C,Central_Hub_B,4.6,2.16
SHP-1140,Hospital_Pharma_J,Central_Hub_B,13.4,14.1
SHP-1141,Regional_Warehouse_D,Retail_Store_G,19.8,2.54
SHP-1142,Central_Hub_B,Regional_Warehouse_D,2.4,2.34
SHP-1143,Hospital_Pharma_J,Central_Hub_A,13.1,1.87
SHP-1144,Hospital_Pharma_J,Central_Hub_B,13.6,3.66
SHP-1145,Retail_Store_G,Hospital_Pharma_I,16.7,4.92
SHP-1146,Retail_Store_F,Regional_Warehouse_E,4.6,6.91
SHP-1147,Regional_Warehouse_D,Retail_Store_F,4.1,5.45
SHP-1148,Regional_Warehouse_D,Regional_Warehouse_E,15.1,14.65
SHP-1149,Retail_Store_G,Regional_Warehouse_C,13.8,3.69
SHP-1150,Regional_Warehouse_E,Retail_Store_H,13.5,5.58
SHP-1151,Retail_Store_F,Central_Hub_B,14.1,17.08
SHP-1152,Central_Hub_A,Retail_Store_H,7.9,4.88
SHP-1153,Hospital_Pharma_J,Central_Hub_B,13.4,4.48
SHP-1154,Central_Hub_B,Hospital_Pharma_I,13.8,1.67
SHP-1155,Regional_Warehouse_D,Hospital_Pharma_I,7.7,2.13
SHP-1156,Regional_Warehouse_E,Regional_Warehouse_C,23.2,5.63
SHP-1157,Retail_Store_F,Central_Hub_B,14.8,4.19
SHP-1158,Regional_Warehouse_D,Retail_Store_F,4.9,6.83
SHP-1159,Regional_Warehouse_E,Regional_Warehouse_C,15.9,1.6
SHP-1160,Retail_Store_H,Hospital_Pharma_I,6.2,2.64
SHP-1161,Regional_Warehouse_E,Hospital_Pharma_I,16.7,3.17
SHP-1162,Central_Hub_A,Hospital_Pharma_I,19.0,4.08
SHP-1163,Regional_Warehouse_E,Central_Hub_B,7.1,3.3
SHP-1164,Regional_Warehouse_C,Regional_Warehouse_E,17.8,0.36
SHP-1165,Central_Hub_B,Hospital_Pharma_J,14.5,17.24
SHP-1166,Hospital_Pharma_I,Regional_Warehouse_C,16.9,16.04
SHP-1167,Regional_Warehouse_E,Hospital_Pharma_J,23.4,5.44
SHP-1168,Hospital_Pharma_J,Regional_Warehouse_D,10.5,22.1
SHP-1169,Retail_Store_F,Regional_Warehouse_D,7.5,5.16
SHP-1170,Regional_Warehouse_E,Hospital_Pharma_I,6.7,6.22
SHP-1171,Retail_Store_H,Regional_Warehouse_E,7.1,4.97
SHP-1172,Central_Hub_A,Central_Hub_B,11.5,2.74
SHP-1173,Retail_Store_G,Regional_Warehouse_E,14.0,12.75
SHP-1174,Central_Hub_A,Hospital_Pharma_J,13.7,6.87
SHP-1175,Retail_Store_F,Regional_Warehouse_C,17.0,7.26
SHP-1176,Regional_Warehouse_E,Regional_Warehouse_C,12.1,7.9
SHP-1177,Retail_Store_H,Hospital_Pharma_I,20.7,4.28
SHP-1178,Retail_Store_G,Hospital_Pharma_I,10.4,0.17
SHP-1179,Central_Hub_A,Central_Hub_B,28.3,5.1
SHP-1180,Central_Hub_B,Regional_Warehouse_C,15.8,4.74
SHP-1181,Hospital_Pharma_I,Central_Hub_A,6.9,14.93
SHP-1182,Retail_Store_F,Hospital_Pharma_I,5.6,21.39
SHP-1183,Regional_Warehouse_C,Retail_Store_G,14.9,4.64
SHP-1184,Regional_Warehouse_C,Central_Hub_A,10.7,2.62
SHP-1185,Regional_Warehouse_E,Retail_Store_F,16.3,5.66
SHP-1186,Central_Hub_A,Retail_Store_F,14.8,3.78
SHP-1187,Regional_Warehouse_D,Hospital_Pharma_J,11.6,2.0
SHP-1188,Central_Hub_B,Retail_Store_F,6.9,3.94
SHP-1189,Hospital_Pharma_I,Retail_Store_G,2.9,3.21
SHP-1190,Hospital_Pharma_J,Regional_Warehouse_C,9.3,2.16
SHP-1191,Regional_Warehouse_D,Regional_Warehouse_C,17.1,14.14
SHP-1192,Regional_Warehouse_C,Retail_Store_G,13.3,5.02
SHP-1193,Central_Hub_A,Regional_Warehouse_C,4.5,20.22
SHP-1194,Retail_Store_F,Retail_Store_G,13.0,16.41
SHP-1195,Regional_Warehouse_D,Regional_Warehouse_E,14.3,5.63
SHP-1196,Regional_Warehouse_C,Central_Hub_B,6.7,16.15
SHP-1197,Retail_Store_G,Central_Hub_A,12.9,5.39
SHP-1198,Retail_Store_H,Regional_Warehouse_D,12.3,3.95
SHP-1199,Regional_Warehouse_D,Retail_Store_H,5.1,3.03
SHP-1200,Retail_Store_F,Regional_Warehouse_E,14.1,4.45
SHP-1201,Regional_Warehouse_D,Hospital_Pharma_J,15.4,3.09
SHP-1202,Central_Hub_A,Regional_Warehouse_D,18.5,1.92
SHP-1203,Retail_Store_G,Retail_Store_F,18.3,7.08
SHP-1204,Regional_Warehouse_E,Central_Hub_B,3.7,5.08
SHP-1205,Regional_Warehouse_E,Retail_Store_F,6.4,20.5
SHP-1206,Hospital_Pharma_I,Retail_Store_G,15.1,8.68
SHP-1207,Hospital_Pharma_I,Retail_Store_F,15.1,3.69
SHP-1208,Central_Hub_A,Central_Hub_B,15.1,3.74
SHP-1209,Regional_Warehouse_E,Regional_Warehouse_C,35.1,11.91
SHP-1210,Hospital_Pharma_J,Regional_Warehouse_E,15.4,3.58
SHP-1211,Central_Hub_A,Central_Hub_B,18.8,2.82
SHP-1212,Hospital_Pharma_J,Retail_Store_G,17.7,3.76
SHP-1213,Retail_Store_F,Hospital_Pharma_J,15.9,4.29
SHP-1214,Retail_Store_G,Hospital_Pharma_I,10.1,2.44
SHP-1215,Central_Hub_B,Retail_Store_G,16.6,5.33
SHP-1216,Hospital_Pharma_J,Regional_Warehouse_D,7.4,4.63
SHP-1217,Regional_Warehouse_E,Central_Hub_A,10.6,4.46
SHP-1218,Retail_Store_G,Central_Hub_A,9.1,6.27
SHP-1219,Hospital_Pharma_I,Hospital_Pharma_J,12.5,15.31
SHP-1220,Regional_Warehouse_D,Retail_Store_F,25.9,15.67
SHP-1221,Retail_Store_G,Central_Hub_B,2.0,3.79
SHP-1222,Retail_Store_F,Hospital_Pharma_J,16.1,4.3
SHP-1223,Central_Hub_B,Regional_Warehouse_E,2.3,3.0
SHP-1224,Hospital_Pharma_I,Regional_Warehouse_E,9.2,4.77
SHP-1225,Retail_Store_G,Retail_Store_F,18.5,2.5
SHP-1226,Retail_Store_G,Regional_Warehouse_E,12.4,16.45
SHP-1227,Hospital_Pharma_I,Regional_Warehouse_C,5.5,4.89
SHP-1228,Regional_Warehouse_D,Retail_Store_G,7.7,16.15
SHP-1229,Retail_Store_G,Regional_Warehouse_C,16.1,2.87
SHP-1230,Hospital_Pharma_J,Regional_Warehouse_E,7.6,4.29
SHP-1231,Retail_Store_G,Hospital_Pharma_I,13.3,7.38
SHP-1232,Central_Hub_A,Regional_Warehouse_E,12.3,4.21
SHP-1233,Regional_Warehouse_E,Regional_Warehouse_D,8.1,1.01
SHP-1234,Retail_Store_G,Retail_Store_F,24.9,15.78
SHP-1235,Retail_Store_H,Hospital_Pharma_J,15.8,12.02
SHP-1236,Retail_Store_H,Regional_Warehouse_D,2.0,3.61
SHP-1237,Hospital_Pharma_I,Retail_Store_H,13.1,6.51
SHP-1238,Regional_Warehouse_C,Central_Hub_B,8.0,3.34
SHP-1239,Regional_Warehouse_E,Hospital_Pharma_I,17.1,2.73
SHP-1240,Hospital_Pharma_J,Retail_Store_F,7.2,3.73
SHP-1241,Central_Hub_B,Regional_Warehouse_D,11.3,4.48
SHP-1242,Regional_Warehouse_E,Regional_Warehouse_D,15.0,5.79
SHP-1243,Regional_Warehouse_D,Regional_Warehouse_C,17.2,1.2
SHP-1244,Central_Hub_A,Hospital_Pharma_J,4.8,1.87
SHP-1245,Regional_Warehouse_D,Retail_Store_H,10.0,2.9
SHP-1246,Hospital_Pharma_J,Central_Hub_B,9.2,2.32
SHP-1247,Retail_Store_H,Retail_Store_G,8.1,2.67
SHP-1248,Hospital_Pharma_J,Regional_Warehouse_D,22.6,4.66
SHP-1249,Retail_Store_G,Retail_Store_H,14.4,3.64
SHP-1250,Retail_Store_G,Regional_Warehouse_D,4.4,2.76
SHP-1251,Regional_Warehouse_C,Central_Hub_A,17.5,5.23
SHP-1252,Central_Hub_B,Retail_Store_G,24.7,2.92
SHP-1253,Regional_Warehouse_D,Regional_Warehouse_C,18.2,4.64
SHP-1254,Hospital_Pharma_I,Retail_Store_H,2.9,16.73
SHP-1255,Central_Hub_A,Hospital_Pharma_I,9.1,5.11
SHP-1256,Regional_Warehouse_D,Central_Hub_B,19.6,4.09
SHP-1257,Retail_Store_H,Regional_Warehouse_C,7.8,2.74
SHP-1258,Retail_Store_H,Hospital_Pharma_I,14.7,2.95
SHP-1259,Hospital_Pharma_I,Retail_Store_F,16.6,2.4
SHP-1260,Retail_Store_H,Hospital_Pharma_I,6.4,5.54
SHP-1261,Retail_Store_G,Hospital_Pharma_I,11.6,2.42
SHP-1262,Retail_Store_H,Regional_Warehouse_C,2.0,3.55
SHP-1263,Retail_Store_H,Hospital_Pharma_J,5.9,6.49
SHP-1264,Regional_Warehouse_E,Regional_Warehouse_D,10.5,4.64
SHP-1265,Regional_Warehouse_E,Hospital_Pharma_I,4.5,1.25
SHP-1266,Retail_Store_H,Regional_Warehouse_D,21.8,4.76
SHP-1267,Regional_Warehouse_E,Retail_Store_H,3.4,19.34
SHP-1268,Central_Hub_B,Regional_Warehouse_E,9.4,4.49
SHP-1269,Regional_Warehouse_D,Regional_Warehouse_E,12.8,6.24
SHP-1270,Retail_Store_F,Hospital_Pharma_J,20.6,17.03
SHP-1271,Hospital_Pharma_I,Central_Hub_B,3.4,2.9
SHP-1272,Regional_Warehouse_C,Hospital_Pharma_J,19.0,4.4
SHP-1273,Regional_Warehouse_D,Retail_Store_G,12.1,4.22
SHP-1274,Regional_Warehouse_C,Regional_Warehouse_D,6.1,3.01
SHP-1275,Central_Hub_B,Retail_Store_G,14.8,1.0
SHP-1276,Retail_Store_G,Retail_Store_F,13.2,3.1
SHP-1277,Hospital_Pharma_I,Retail_Store_H,8.4,3.93
SHP-1278,Retail_Store_G,Central_Hub_A,12.4,8.72
SHP-1279,Regional_Warehouse_D,Retail_Store_G,9.7,18.24
SHP-1280,Retail_Store_G,Central_Hub_A,12.7,2.75
SHP-1281,Hospital_Pharma_J,Retail_Store_G,16.0,3.85
SHP-1282,Retail_Store_H,Central_Hub_A,21.5,6.34
SHP-1283,Retail_Store_F,Regional_Warehouse_E,4.6,5.75
SHP-1284,Retail_Store_G,Hospital_Pharma_J,24.8,4.59
SHP-1285,Hospital_Pharma_I,Hospital_Pharma_J,2.0,16.7
SHP-1286,Hospital_Pharma_J,Regional_Warehouse_D,11.1,4.68
SHP-1287,Retail_Store_H,Regional_Warehouse_D,15.5,3.64
SHP-1288,Regional_Warehouse_E,Retail_Store_G,13.7,-0.27
SHP-1289,Retail_Store_H,Central_Hub_A,8.3,5.46
SHP-1290,Retail_Store_G,Retail_Store_F,10.8,4.81
SHP-1291,Retail_Store_G,Regional_Warehouse_C,9.0,5.92
SHP-1292,Retail_Store_H,Regional_Warehouse_C,8.5,18.12
SHP-1293,Hospital_Pharma_J,Hospital_Pharma_I,17.1,4.92
SHP-1294,Central_Hub_A,Retail_Store_G,14.1,2.61
SHP-1295,Hospital_Pharma_J,Central_Hub_A,7.8,2.54
SHP-1296,Central_Hub_B,Retail_Store_G,17.4,4.4
SHP-1297,Regional_Warehouse_C,Retail_Store_H,13.8,17.99
SHP-1298,Regional_Warehouse_C,Central_Hub_A,16.9,15.89
SHP-1299,Regional_Warehouse_E,Retail_Store_G,15.8,4.53
SHP-1300,Retail_Store_F,Regional_Warehouse_D,7.0,5.11
SHP-1301,Retail_Store_H,Retail_Store_F,8.6,3.07
SHP-1302,Retail_Store_F,Retail_Store_G,16.5,4.45
SHP-1303,Regional_Warehouse_E,Retail_Store_G,15.7,4.55
SHP-1304,Regional_Warehouse_E,Central_Hub_B,11.9,1.98
SHP-1305,Retail_Store_H,Central_Hub_A,12.7,5.76
SHP-1306,Hospital_Pharma_I,Central_Hub_A,19.7,3.97
SHP-1307,Retail_Store_F,Regional_Warehouse_D,8.5,16.51
SHP-1308,Central_Hub_B,Central_Hub_A,15.3,10.43
SHP-1309,Central_Hub_A,Regional_Warehouse_D,10.8,7.79
SHP-1310,Regional_Warehouse_D,Central_Hub_A,10.7,12.38
SHP-1311,Hospital_Pharma_J,Regional_Warehouse_C,18.6,14.87
SHP-1312,Regional_Warehouse_D,Regional_Warehouse_C,17.0,17.49
SHP-1313,Retail_Store_H,Central_Hub_B,16.9,19.5
SHP-1314,Hospital_Pharma_J,Regional_Warehouse_D,19.8,3.96
SHP-1315,Retail_Store_H,Regional_Warehouse_E,12.1,3.47
SHP-1316,Retail_Store_F,Regional_Warehouse_C,16.1,4.12
SHP-1317,Hospital_Pharma_J,Central_Hub_B,10.1,5.05
SHP-1318,Regional_Warehouse_C,Regional_Warehouse_E,13.9,5.4
SHP-1319,Central_Hub_B,Central_Hub_A,11.2,4.03
SHP-1320,Regional_Warehouse_E,Retail_Store_G,12.6,2.98
SHP-1321,Retail_Store_G,Regional_Warehouse_D,15.6,12.42
SHP-1322,Central_Hub_B,Regional_Warehouse_D,7.1,5.31
SHP-1323,Central_Hub_B,Regional_Warehouse_E,24.6,4.27
SHP-1324,Hospital_Pharma_J,Central_Hub_B,6.0,3.39
SHP-1325,Hospital_Pharma_J,Central_Hub_A,4.7,6.5
SHP-1326,Retail_Store_F,Hospital_Pharma_I,18.9,18.17
SHP-1327,Retail_Store_G,Retail_Store_F,16.7,5.22
SHP-1328,Central_Hub_B,Hospital_Pharma_I,15.7,5.15
SHP-1329,Retail_Store_F,Central_Hub_A,15.8,19.13
SHP-1330,Retail_Store_G,Retail_Store_H,11.9,5.34
SHP-1331,Central_Hub_B,Retail_Store_G,6.6,3.78
SHP-1332,Retail_Store_F,Retail_Store_H,12.5,2.5
SHP-1333,Regional_Warehouse_C,Retail_Store_G,7.9,13.52
SHP-1334,Regional_Warehouse_C,Hospital_Pharma_I,17.9,5.39
SHP-1335,Regional_Warehouse_E,Hospital_Pharma_I,11.1,2.51
SHP-1336,Retail_Store_H,Hospital_Pharma_J,7.0,5.1
SHP-1337,Retail_Store_G,Regional_Warehouse_E,10.1,1.84
SHP-1338,Retail_Store_F,Regional_Warehouse_D,14.5,3.61
SHP-1339,Central_Hub_B,Regional_Warehouse_E,8.6,-0.38
SHP-1340,Retail_Store_H,Regional_Warehouse_D,7.1,5.28
SHP-1341,Retail_Store_H,Retail_Store_G,13.5,4.81
SHP-1342,Retail_Store_F,Central_Hub_A,13.5,5.36
SHP-1343,Retail_Store_H,Retail_Store_F,9.0,3.72
SHP-1344,Regional_Warehouse_C,Retail_Store_H,9.2,6.44
SHP-1345,Regional_Warehouse_D,Retail_Store_F,13.4,6.39
SHP-1346,Regional_Warehouse_E,Retail_Store_F,3.3,3.49
SHP-1347,Regional_Warehouse_E,Hospital_Pharma_J,3.6,2.29
SHP-1348,Hospital_Pharma_I,Central_Hub_A,7.7,13.66
SHP-1349,Hospital_Pharma_I,Regional_Warehouse_D,10.7,13.93
SHP-1350,Central_Hub_B,Regional_Warehouse_D,13.9,4.97
SHP-1351,Retail_Store_G,Retail_Store_H,20.9,4.18
SHP-1352,Hospital_Pharma_I,Regional_Warehouse_D,17.1,13.14
SHP-1353,Retail_Store_H,Hospital_Pharma_J,11.0,5.98
SHP-1354,Retail_Store_H,Central_Hub_A,11.9,2.88
SHP-1355,Central_Hub_B,Regional_Warehouse_E,6.0,17.22
SHP-1356,Regional_Warehouse_D,Retail_Store_G,11.9,3.67
SHP-1357,Regional_Warehouse_D,Regional_Warehouse_E,10.3,5.85
SHP-1358,Hospital_Pharma_J,Retail_Store_F,13.9,2.34
SHP-1359,Retail_Store_H,Hospital_Pharma_I,7.0,10.06
SHP-1360,Hospital_Pharma_I,Retail_Store_F,15.1,3.36
SHP-1361,Retail_Store_G,Hospital_Pharma_I,21.2,5.62
SHP-1362,Retail_Store_F,Hospital_Pharma_J,11.3,3.45
SHP-1363,Retail_Store_H,Regional_Warehouse_E,14.4,2.87
SHP-1364,Regional_Warehouse_E,Hospital_Pharma_J,16.1,2.76
SHP-1365,Regional_Warehouse_D,Central_Hub_B,9.6,4.26
SHP-1366,Regional_Warehouse_D,Retail_Store_F,13.3,8.66
SHP-1367,Central_Hub_B,Hospital_Pharma_I,12.1,2.56
SHP-1368,Regional_Warehouse_C,Regional_Warehouse_D,12.6,5.06
SHP-1369,Regional_Warehouse_D,Retail_Store_H,7.4,6.01
SHP-1370,Regional_Warehouse_E,Hospital_Pharma_I,12.1,2.0
SHP-1371,Hospital_Pharma_J,Regional_Warehouse_E,15.0,25.0
SHP-1372,Central_Hub_B,Regional_Warehouse_D,20.7,6.81
SHP-1373,Regional_Warehouse_E,Regional_Warehouse_D,17.8,3.75
SHP-1374,Retail_Store_F,Regional_Warehouse_C,24.9,5.83
SHP-1375,Regional_Warehouse_E,Central_Hub_A,7.4,3.26
SHP-1376,Hospital_Pharma_I,Regional_Warehouse_C,17.2,3.09
SHP-1377,Regional_Warehouse_E,Central_Hub_A,13.1,5.72
SHP-1378,Central_Hub_A,Hospital_Pharma_I,25.1,11.11
SHP-1379,Regional_Warehouse_E,Regional_Warehouse_C,7.2,2.21
SHP-1380,Retail_Store_H,Central_Hub_B,7.0,4.93
SHP-1381,Central_Hub_A,Regional_Warehouse_E,8.4,3.99
SHP-1382,Retail_Store_H,Hospital_Pharma_J,2.0,4.26
SHP-1383,Retail_Store_H,Retail_Store_F,8.8,4.11
SHP-1384,Regional_Warehouse_C,Central_Hub_A,7.4,4.52
SHP-1385,Regional_Warehouse_E,Retail_Store_H,12.9,4.65
